Código;Alimento;Agua (g);Energía (kcal);Proteínas (g);Lípidos (g);Ácidos Grasos Saturados (g);Ácidos Grasos Monoinsaturados (g);Ácidos Grasos Poliinsaturados (g);Colesterol (mg);Hidratos de Carbono (g);Fibra (g);Cenizas (g);Sodio (mg);Potasio (mg);Calcio (mg);Fósforo (mg);Hierro (mg);Zinc (mg);Niacina (mg);Folatos (µg);Vitamina A (µg RAE);Tiamina (B1) (mg);Riboflavina (B2) (mg);Vitamina B12 (µg);Vitamina C (mg);Vitamina D (UI)
9;Hongos enlatados;91.08;20.85;1.87;0.29;0.038;0.005;0.113;0;2.69;2.4;1.67;425;129;11;66;0.79;0.72;1.59;12;0;0.085;0.021;0;0;0
9;Lechuga;95.07;12.75;1.36;0.15;0.02;0.006;0.082;0;1.49;1.3;0.62;28;194;36;29;0.86;0.18;0.38;38;370;0.07;0.08;0;18;0
9;Mandioca;59.68;153;1.36;0.28;0.074;0.075;0.048;0;36.26;1.8;0.62;14;271;16;27;0.27;0.34;0.85;27;1;0.087;0.048;0;20.6;0
9;Palmitos en lata;90.2;24.54;2.52;0.62;0.013;0.103;0.202;0;2.22;2.4;2.04;426;177;58;65;3.13;1.15;0.44;39;0;0.011;0.057;0;0;0
9;Papa;78;82.5;2.7;0.1;0;0;0;0;17.7;1.6;0.5;24;493;36;72;0.86;0.4;1.9;12.8;0;0.13;0.106;0;9.85;0
9;Pepino;96.1;11.7;0.7;0.1;0.013;0.002;0.003;0;2;0.7;0.4;13;141;23;24;0.3;0.17;0.1;14;4;0.044;0.057;0;6.1;0
9;Puerro;88.2;38.44;2.5;0.4;0.037;0.004;0.156;0;6.21;1.69;1;81;199;58;6;0.65;0.11;0.5;60;78;0.111;0.03;0;4.32;0
9;Rabanito;91.8;22.7;1.3;0.1;0.031;0.017;0.046;0;4.15;1.65;1;40.47;241.8;25.94;20.75;0.35;0.29;0.5;25.94;0;0.067;0.04;0;17.7;0
9;Radicheta;90;11.68;2.2;0;0.074;0.006;0.134;0;0.72;4.08;1.3;97;339;138;64;1.71;0.43;0.51;112;292;0.06;0.1;0;14.8;0
9;Remolacha;85.6;42.8;2.4;0;0.275;0.337;0.062;0;8.3;2.8;0.9;51;399;13;46;2.86;0.36;0.7;109;2;0.065;0.053;0;3.68;0
9;Repollito bruselas;84.9;42.34;4.4;0.5;0.062;0.023;0.153;0;5.06;3.84;1.3;25.25;393;42.4;69.7;1.41;0.42;0.75;109;38.4;0.14;0.09;0;63.76;0
9;Repollo;94;14.08;2.4;0;0;0;0;0;1.12;0.78;1.7;17;241;46;23;0.59;0.18;0.3;42;8.8;0.102;0.16;0;23;0
